Agile methodologies suggest to elaborate documentation only as needed, without having any required artifacts for each stage as traditional methodologies usually do.|development process|development practice|development practice|development practice|rationale|
The reason why heavy documentation is not recommended is because requirements are expected to change constantly during the development process, forcing to update every diagram and text each time a change is applied, with the consequent loss of time that could have been otherwise used to develop the product.|development process|development practice|development practice|development practice|rationale|
For this reason, only some simplified diagrams were drawn during the specification and design stages, the necessary to understand the system and share ideas with the SPHERE.IO team.|development process|development practice|development practice|development practice|rationale|
Therefore most of the artifacts presented in both this section and section Design 4, were made after the product was already built, intended to assist the reader in understanding better the system.|document organisation|document organisation|document organisation|document organisation|rationale|
The specification section here presented describes the necessary system to fulfill the functional requirements previously gathered|document organisation|document organisation|document organisation|document organisation||
Here are first described the set of use cases that are initially planned for the project, which corresponds to the final Product Backlog (see list in Appendix B Product Backlog).|document organisation|document organisation|document organisation|document organisation||
The conceptual model of this system is then presented and, for each use case, is explained the expected behavior of the system with the user.|document organisation|document organisation|document organisation|document organisation||
3.1 Use Case Model|uncertain|uncertain|uncertain|uncertain||
There are three actors that interact with the system: the customer, the payment platform and the SPHERE.IO e-commerce platform (Figure 3.1).|system|structure|s-architecture|s-architecture||
The customer can either be an anonymous customer or an identified customer previously existing in the SPHERE.IO platform.|uncertain|uncertain|uncertain|uncertain||
Since the required functionalities of the present project were mainly designed to test the SPHERE.IO platform, it is no surprise that the platform is present in every single use case of the system whatsoever, so for the sake of readability it will be omitted from the use case diagrams henceforth.|non-information|non-information|non-information|non-information|rationale|
As mentioned earlier, the system has three functionalities where all use cases fall into: display products, purchase products and manage customer account (Figure 3.2).|requirement|feature|feature|feature||
The customer is present in all use cases of the system, while the payment platform is only involved in the functionality for purchasing products.|non-information|non-information|non-information|non-information||
The use cases for displaying products are shown below in Figure 3.3.|document organisation|document organisation|document organisation|document organisation||
The customer can either list a set of products or display a particular product.|requirement|feature|feature|feature||
Further additional functionalities can be applied to the product listing, individually or combined together, in order to alter the list itself (i.e. filtering) or the way the products are listed (i.e. sorting and pagination).|requirement|functionality & behaviour|functionality & behaviour|functionality & behaviour||
Figure 3.4 shows the use cases related to purchasing products.|document organisation|document organisation|document organisation|document organisation||
They can be clearly divided into two different topics: on the one hand all those use cases for managing the shopping cart (i.e. adding, updating and removing items), on the other hand those related to placing and listing orders.|uncertain|uncertain|uncertain|uncertain||
When placing an order the customer may be requested to pay online, in which case the payment platform will provide the necessary means.|requirement|use case|use case|use case||
Anonymous as much as registered customers can place orders, but only customers that have been identified are able to list their own orders, otherwise they are requested to identify themselves.|requirement|use case|use case|use case||
Finally, for the use cases related to account management (Figure 3.5), a registered customer can manage his address book (i.e. add, update or remove postal addresses) or update his account (i.e. change his personal data or password).|requirement|use case|use case|use case||
He can as well decide to log out from the system and become an anonymous customer.|requirement|use case|use case|use case||
As an anonymous customer, he can sign up a new account or log in with an existing one.|requirement|use case|use case|use case||
In case he cannot remember his credentials, he will be given the option to recover his password.|requirement|use case|use case|use case||
The previously explained use cases are mostly useful to define the scope of the project and understand its functionalities.|non-information|non-information|non-information|non-information||
For example, these use cases can be helpful to estimate tasks and elaborate the development plan, as well as a guide to determine the necessary functional tests for the system.|non-information|non-information|non-information|non-information||
But these use cases are too granular for other purposes, such as defining acceptance tests or describing the sequence of user interactions with the system.|non-information|non-information|non-information|non-information||
These tasks require a more abstract level of use cases, focused on user goals instead of functionalities, sometimes called top-level use cases.|non-information|non-information|non-information|non-information||
A top-level use case describes a single elementary business process that allows a particular user to fulfill a goal.|non-information|non-information|non-information|non-information||
In this system there are mainly three goals that a customer may want to achieve when he uses the web-shop, as shown in Figure 3.6|requirement|r-general|r-general|r-general||
The first one consist of browsing the catalog and selecting those products of interest.|requirement|functionality & behaviour|functionality & behaviour|functionality & behaviour||
At some moment, the user can decide to review the selected items and eventually buy them, which is the second goal.|requirement|use case|use case|use case||
Finally, the third goal involves checking the payment or shipping status of the order, or any additional related information.|requirement|functionality & behaviour|functionality & behaviour|functionality & behaviour||
All low-level use cases defined earlier are actually providing the functionalities to fulfill these three goals.|non-information|non-information|non-information|non-information||
Both low-level and top-level use cases are being used indistinctly throughout this document to elaborate other diagrams and descriptions, its use responding mostly to the level of abstraction that fits best the explanation.|non-information|non-information|non-information|non-information||
In any case, the term “top-level” is expressly used when referring to this type of use case.|non-information|non-information|non-information|non-information||
3.2 System behavior model|non-information|non-information|non-information|non-information||
Almost all the low-level use cases of this project consist of only one interaction between the user and the system.|non-information|non-information|non-information|non-information||
This may be useful for projects that require very detailed information about the system to be developed, possibly because its behavior is very specific and unique.|non-information|non-information|non-information|non-information||
But this is not the case of this project whatsoever, the use cases defined here are precisely very common amongst web-shops, so any operation offered by this system is considered to be selfexplanatory.|non-information|non-information|non-information|non-information||
As mentioned before, the top-level use cases are here more appropriate to describe the user communication with the system.|non-information|non-information|non-information|non-information||
This is because they provide information not only about the system behavior, but also about the sequence of interactions that the customer usually performs in order to achieve a goal.|non-information|non-information|non-information|non-information|rationale|
Figure 3.7 displays the sequence diagram for the browse catalog top-level use case, one of the many possible success scenarios.|document organisation|document organisation|document organisation|document organisation||
In this case the user will usually go to the home page, select a category and then filter or sort the products until he eventually finds one of interest.|requirement|use case|use case|use case||
Then he will probably ask for the details of the product and next he will add it to the shopping cart.|requirement|use case|use case|use case||
The checkout top-level use case is shown in Figure 3.8.|document organisation|document organisation|document organisation|document organisation||
Once the customer has some line items in his shopping cart, the next step is to navigate to the cart page|requirement|use case|use case|use case||
Here the user can remove or modify his line items until he is ready to start the checkout process.|requirement|use case|use case|use case||
There, after entering all shipping and billing information, the customer will confirm the purchase and the system will request the payment platform to process the payment, displaying the order details in response to the customer.|requirement|use case|use case|use case||
The last sequence diagram displays the interactions that the customer has to perform in order to check the state of an order (Figure 3.9).|document organisation|document organisation|document organisation|document organisation||
This scenario requires the customer to previously sign up to the system and purchase some items as a registered customer.|requirement|use case|use case|use case||
Then at any moment the user can go to the login page and enter the login information to access his customer profile.|requirement|use case|use case|use case||
There he can select to list all his orders and select the one he wants to view in detail.|requirement|use case|use case|use case||
3.3 Conceptual Model|non-information|non-information|non-information|non-information||
The conceptual model of this project revolves around the cart concept, while all other system elements are there to provide the required information to the cart, as seen in the class diagram below (Figure 3.10).|document organisation|document organisation|document organisation|document organisation||
Products are related to carts as a list of product variants, forming line items.|uncertain|uncertain|uncertain|uncertain||
Variant is a concept to define the part of the product that contains the particular characteristics of it, such as color or size, even having sometimes a different price.|non-information|non-information|non-information|non-information||
Therefore every product has at least one variant, each one with different price or attributes.|requirement|functionality & behaviour|functionality & behaviour|functionality & behaviour|rationale|
Similarly, a cart can be associated with one of the shipping methods available in the system, resulting in a shipping item, necessary to manage taxes|requirement|functionality & behaviour|functionality & behaviour|functionality & behaviour||
Both products and shipping methods have a particular tax category, that can be variable for products and fixed in the case of shipping.|requirement|functionality & behaviour|functionality & behaviour|functionality & behaviour||
When one of these elements are added to the cart, a tax rate is assigned to the item according to this tax category and the shipping address of the cart.|requirement|functionality & behaviour|functionality & behaviour|functionality & behaviour||
As mentioned above carts can have a shipping address, but can have as well a billing address.|requirement|functionality & behaviour|functionality & behaviour|functionality & behaviour||
A cart can belong to a registered customer, otherwise it is considered to have an anonymous customer.|requirement|functionality & behaviour|functionality & behaviour|functionality & behaviour||
Once the checkout is finished a cart becomes an order, with information about the current payment, shipping and order status.|requirement|functionality & behaviour|functionality & behaviour|functionality & behaviour||
If the customer was not anonymous, this order will be associated with that customer, along with any of his previous orders.|requirement|functionality & behaviour|functionality & behaviour|functionality & behaviour||
Every customer can also have a list of addresses comprising the address book.|requirement|functionality & behaviour|functionality & behaviour|functionality & behaviour||
Products, addresses and shipping methods can change or disappear over time, but the orders associated with them must stay in the system for an indefinite period of time, having exactly the original information|requirement|functionality & behaviour|functionality & behaviour|functionality & behaviour||
To solve this issue, cart is not related to the original instances, but to instances that were created exclusively for this particular cart as a snapshot of those original instances.|uncertain|uncertain|uncertain|uncertain||
While the current cart may optionally have associated information, this information is mandatory in an order instance.|requirement|functionality & behaviour|functionality & behaviour|functionality & behaviour||
For simplicity, the conceptual model only accepts product and shipping prices that do not include taxes.|uncertain|||||
Allowing taxes in prices can be achieved by simply adding a boolean attribute indicating whether the price in question has taxes included or not.|uncertain|||||
So assuming that taxes are not included, the net total price in the cart must be the sum of all the line item prices (i.e. the quantity in each line item multiplied by the corresponding variant price) associated with it, plus the price of the shipping method selected.|requirement|functionality & behaviour|functionality & behaviour|functionality & behaviour||
In order to calculate the gross total price, taxes must be added up to this resulting net price.|requirement|functionality & behaviour|functionality & behaviour|functionality & behaviour||
Taxes are calculated multiplying the price of each shipping or line item by its corresponding tax rate.|requirement|functionality & behaviour|functionality & behaviour|functionality & behaviour||
Lastly when the shipping address is set in the cart, all tax rates from shipping and line items are calculated.|requirement|functionality & behaviour|functionality & behaviour|functionality & behaviour||
Only those products that include a tax category corresponding to the zone (e.g. state, country) of the shipping address can be part of the cart.|requirement|functionality & behaviour|functionality & behaviour|functionality & behaviour||
Missing the tax category means that the price cannot be calculated, thus the product is not available in that zone.|requirement|functionality & behaviour|functionality & behaviour|functionality & behaviour||
3.4 State Diagrams|uncertain|uncertain|uncertain|uncertain||
There are two interesting state diagrams of this system, both related to the cart element.|uncertain|uncertain|uncertain|uncertain||
The first diagram (Figure 3.11) describes how a cart instance changes until it becomes a complete order.|document organisation|document organisation|document organisation|document organisation||
As the diagram below shows, the current cart is the initial state, which allows to change its contents in multiple ways, such as adding or removing line items or selecting a shipping address.|uncertain|uncertain|uncertain|uncertain||
Once the checkout is finished the cart becomes an order, being this an irreversible change.|requirement|functionality & behaviour|functionality & behaviour|functionality & behaviour||
From now on the order can only change from an open to a complete state, and vice versa.|requirement|functionality & behaviour|functionality & behaviour|functionality & behaviour||
The second diagram (Figure 3.12) describes the whole process of managing the shopping cart and eventually purchasing these products in the checkout process.|document organisation|document organisation|document organisation|document organisation||
This diagram will become especially useful when designing the checkout interface, as it clearly displays the requirements of each step of the checkout process|document organisation|document organisation|document organisation|document organisation|rationale|
At the beginning of the process a new cart is created|requirement|functionality & behaviour|functionality & behaviour|functionality & behaviour||
Once the cart contains an item it can be further updated, then at any moment the user can start or exit the checkout process.|requirement|use case|use case|use case||
Initially the checkout process requires a shipping address to display the shipping methods, then it requires a shipping method to display billing options.|requirement|functionality & behaviour|functionality & behaviour|functionality & behaviour||
Of course this sequence can be skipped if the cart has already these requirements.|uncertain|uncertain|uncertain|uncertain||
When the user provides the billing information and finalizes the checkout, the system charges the customer|requirement|use case|use case|use case||
The order is then created after the payment platform confirms that the payment was successful.|requirement|functionality & behaviour|functionality & behaviour|functionality & behaviour||
The moment the previous cart becomes an order, a new cart is created for the customer in order to start the process once again.|requirement|functionality & behaviour|functionality & behaviour|functionality & behaviour||
4 Design|uncertain|uncertain|uncertain|uncertain||
The software design describes the final details of a system before it is implemented|non-information|non-information|non-information|non-information||
During the design process decisions are taken in order to meet the gathered requirements, decisions that are then applied to the system defined in the section Specification 3.|non-information|non-information|non-information|non-information||
Both physical and logical designs of the system are described in detail in the current chapter (sections System Physical Architecture 4.1 and System Logical Architecture 4.2), with an overview of how the resulting product needs to be implemented.|document organisation|document organisation|document organisation|document organisation||
Every technology used is carefully justified and the major characteristics are explained (section Description of Used Technologies 4.2.1).|document organisation|document organisation|document organisation|document organisation||
The selection of a technology is a decisive process aimed to obtain the optimal results of a project|non-information|non-information|non-information|non-information||
An unwise decision can sometimes seriously affect the total resources needed or the successful fulfillment of the proposed objectives.|non-information|non-information|non-information|non-information||
It is also important to design correctly the structure of the system, for example identifying and applying the software patterns that can solve existing problems in this particular project.|development process|development practice|development practice|development practice||
4.1 System Physical Architecure|uncertain|uncertain|uncertain|uncertain||
The designed system follows a client-server architecture with three tiers: the client, the web application server and the data server tier.|system|structure|s-architecture|s-architecture||
The data tier corresponds to the SPHERE.IO backend, which offers a scalable cloud-based platform for the e-commerce data, having the capability of scaling up as the demand increases|system|structure|s-implementation|s-techsolution||
The application tier needs an enterprise hosting solution, suitable for a company web-shop.|system|structure|s-implementation|s-techsolution||
In order to take advantage of the scalability of the data tier, a good matching web hosting solution would be a cloud service with easy and fast scalability, letting the shop grow as the number of customers grow, without any bottleneck|system|structure|s-implementation|s-techsolution|rationale|
At the time the system was designed there were only two cloud platforms with built in support for deploying Play applications: Heroku and Cloudbees; although at the end of 2013 the number of services has been doubled and the offer will probably continue to increase in the future.|system|structure|s-implementation|s-techsolution||
Both services enable a simple automated deployment of the web application to the platform, which will allow developers to have a working hosted application within minutes.|system|structure|s-implementation|s-techsolution|rationale - benefit|
The specific hosting solution used for this project is irrelevant in terms of requirements, given that it is only intended to host the test web-shop for SPHERE.IO, and both platforms promise the same level of quality.|system|structure|s-implementation|s-techsolution|rationale|
In spite of that, it is wise to choose the most likely option the future developers will use, so that it is tested beforehand.|uncertain|uncertain|uncertain|uncertain||
While Cloudbees also offers integrated tools to support development of Java projects, Heroku is a much popular alternative with support for several programming languages and a wide range of plugins, thus becoming a preferable option for the project.|system|structure|s-implementation|s-techsolution|rationale - benefit|
Unlike SPHERE.IO, Heroku is scalable only under demand.|system|structure|s-implementation|s-techsolution||
Figure 4.1 illustrates the physical architecture of the system.|document organisation|document organisation|document organisation|document organisation||
As appears in the diagram, any request to a Heroku deployed web application is first processed by one of the many platform’s reverse proxies.|system|structure|s-implementation|s-techsolution||
The reverse proxy forwards the request to a HTTP cache layer, which returns the page if it is cached, otherwise forwards the request to the corresponding web application [Rob11].|system|behaviour|b-implementation|b-techsolution||
The communication between the web application and the SPHERE.IO backend is always held with HTTPS as a requirement of the e-commerce platform.|system|behaviour|b-implementation|b-techsolution||directive
Instead, the protocol of the requests between the client and the web server are decision of the developer.|system|behaviour|b-implementation|b-general||
For this project the most reasonable option would be to use HTTPS whenever customer data is being transferred.|system|behaviour|b-implementation|b-techsolution|rationale|
This is typically the case of the checkout process, as well as any time the customer is logged in.|uncertain|uncertain|uncertain|uncertain||
4.2 System Logical Architecture|uncertain|uncertain|uncertain|uncertain||
The logical architecture of the system is designed after the MVC (Model-View-Controller) architectural pattern, which is widely used in web applications design|system|structure|s-architecture|s-architecture||
Its use in this project is required, since MVC is the architecture pattern followed by Play Framework, the web framework on which SPHERE.IO Play SDK has been developed.|system|structure|s-architecture|s-architecture|rationale|directive
As the name suggests, the system logic is divided into three components: Model, View and Controller.|system|structure|s-architecture|s-architecture||
As a rough definition, the Model manages business logic and domain data, the View is responsible of displaying the information, and the Controller is in charge of changing Model and View accordingly to the user input.|system|structure|s-architecture|s-architecture||
The specific MVC design of the current system is shown in Figure 4.2 below|system|structure|s-architecture|s-architecture||
One of the particularities of this design is that SPHERE.IO Play SDK is the main component of the Model, since it controls all the domain data of the application, as well as most of the business logic.|system|structure|s-architecture|s-architecture||
Only some business rules are added to the Model in order to validate form input coming from the user, before sending this data to SPHERE.IO Play SDK, as well as some external functionalities such as email sending and online payment.|system|behaviour|b-implementation|b-techsolution|rationale|
When the request reaches the web application server, a routing system analyzes the HTTP request and invokes a particular action of the corresponding controller|system|behaviour|b-implementation|b-techsolution||
Then the controller interprets all required input parameters coming from the user and requests the appropriate changes to the model.|system|behaviour|b-implementation|b-general||
In the model, SPHERE.IO Play SDK executes the request, which usually involves communication with the SPHERE.IO backend in order to create, read, update or delete (CRUD) some of the stored data.|system|behaviour|b-implementation|b-techsolution||
Once the model finishes processing the request, the controller selects the appropriate template and sends all information related to the current request to the view.|system|behaviour|b-implementation|b-general||
With this information and some other obtained directly from the model, the view generates a HTML document that is sent back to the client via a HTTP response.|system|behaviour|b-implementation|b-techsolution||
With this design, a new whole web page must be loaded from the server every time the user wants to interact with the system.|system|ui design|u-implementation|u-implementation||
This is known as a “thin client” design, because all the logic is located in the server, leaving the client with the only task of rendering the web page.|system|structure|s-architecture|s-architecture||
In comparison with that, a “fat client” hosts all the logic of the system; hence Controller, View and Model are located on the client side, leaving in the server just those parts of the Model responsible for the security and management of persistence.|system|structure|s-architecture|s-architecture||
A fat client allows the user to interact with the system while never reloading the web page, only updating those specific components of the page that changed during the interaction.|system|structure|s-architecture|s-architecture||
This behavior enhances the user experience, because the user can continue interacting with the system while operations are taking place.|requirement|non-functional|non-functional|non-functional|rationale - benefit|
Information can also be presented in an incremental way, so that the user can start interacting with some elements of the page while further information is being retrieved|system|ui design|u-architecture|u-architecture|rationale - benefit|
Another important fact is that traffic between the client and the system is reduced to simple data with no presentation information, which speeds up the communication with the system and decreases network use.|system|behaviour|b-implementation|b-general|rationale - benefit|
While a fat client solves some external design issues, it also creates several technical problems.|system|structure|s-architecture|s-architecture|rationale - drawback|
Since the web page is never reloading, the browser can no longer control the routing, caching or history management of it.|uncertain|uncertain|uncertain|uncertain|rationale|
Therefore it is the responsibility of the system to replace those functionalities that the browser is unable to perform.|uncertain|uncertain|uncertain|uncertain|rationale|
These technical problems can be considered a too expensive price to pay in order to improve the user experience.|requirement|non-functional|non-functional|non-functional|rationale|
The amount of resources needed to implement a reliable system with a pure fat client is several times higher than the equivalent with a thin client.|system|structure|s-architecture|s-architecture|rationale - drawback|
Moreover the complexity of the code is also very significant, which makes this design not suitable for a template that must be understandable and easy to learn.|requirement|non-functional|non-functional|non-functional||
A mixed approach between a fat and a thin client can be the solution to improve the user experience without giving up on the browser logic|system|structure|s-architecture|s-architecture|rationale - benefit|
The website can be divided into different contexts that offer the user some common functionalities.|uncertain|uncertain|uncertain|uncertain||
Between contexts the web page is fully reloaded, while operations within the contexts only update some parts of the page [Con13].|system|ui design|u-implementation|u-implementation||
By way of example, each product detail page is a different context, but adding a product to the shopping cart only updates the mini-cart displayed, while the user never leaves the page.|system|ui design|u-implementation|u-implementation||
In order to facilitate understanding of the logical architecture of the system, its design has been divided into two different diagrams: the one corresponding to the scenario between contexts and the one displaying the scenario within a context.|uncertain|uncertain|uncertain|uncertain||
The former has already been explained before, so the following explanation will focus on the differences and characteristics between both scenarios.|uncertain|uncertain|uncertain|uncertain||
Every time a new context is loaded or the user interacts with the web page in some way, an event is fired by HTML DOM.|system|ui design|u-implementation|u-implementation||
The controller on the client side can handle these events, in which case it gathers the required information and requests the client-side model to validate this information in order to avoid unnecessary calls to the server.|system|behaviour|b-implementation|b-general|rationale|
If the validation was successful, the controller sends the corresponding HTTP request to the server, which is analyzed by the routing system and handed over to a controller action the same way as before.|system|behaviour|b-implementation|b-techsolution||
As well as before the controller requests the appropriate changes to the model, but this time when the model finishes, the controller generates JSON data using the information related to the current request coming from the model.|system|behaviour|b-implementation|b-techsolution||
This JSON data is sent back to the controller located on the client, which in turn selects a template and sends this data to the view.|system|behaviour|b-implementation|b-techsolution||
With that, the view generates a HTML fragment that uses to replace the corresponding component on the web page.|system|behaviour|b-implementation|b-techsolution||
4.2.1 Description of Used Technologies|uncertain|uncertain|uncertain|uncertain||
The current project has several technologies that are fixed by the requirements, starting with SPHERE.IO Play SDK.|system|structure|s-implementation|s-techsolution||directive
This SDK is designed to be used with Play Framework, and specifically with the Java language version.|system|structure|s-implementation|s-techsolution||
Besides the framework has a significant influence on several other server-side technologies as well, depending on the support it provides.|system|structure|s-implementation|s-techsolution||
On the other hand, the payment platform needs to be carefully chosen, because it has inevitably a great impact on the template reusability and the analysis of the platform.|uncertain|uncertain|uncertain|uncertain|rationale|
All client-side technologies need to be selected, specially the templating solution in the view component.|uncertain|uncertain|uncertain|uncertain||directive
Furthermore, given that maximizing developer experience (i.e. user experience applied to developers) is one of the main requirements of the project, this system needs technologies to help organizing and simplifying the code, particularly complex because of the logical architecture design.|requirement|non-functional|non-functional|non-functional|rationale|
Figure 4.4 above illustrates the use of technologies in each component.|document organisation|document organisation|document organisation|document organisation||
As it shows, Play is the web application framework, that uses the programming language Scala in the templates, and Java in both model and controllers.|system|structure|s-implementation|s-techsolution||
In the model SPHERE.IO provides the main commerce business logic of the system, while Optile supports the payment functionality.|system|structure|s-implementation|s-techsolution||
Additionally, LESS and CoffeeScript are used server-side to generate CSS and JavaScript files, respectively.|system|structure|s-implementation|s-techsolution||
The server is using HTML5 and JSON files to send information to the client.|system|structure|s-implementation|s-techsolution||
